season,week,game_id,game_date,play_id,posteam,defteam,home_team,away_team,posteam_type,qtr,game_seconds_remaining,half_seconds_remaining,quarter_seconds_remaining,down,ydstogo,yardline_100,score_differential,home_timeouts_remaining,away_timeouts_remaining,posteam_timeouts_remaining,defteam_timeouts_remaining,roof,surface,temp,wind,play_type,punt_attempt,field_goal_attempt,rush_attempt,pass_attempt,epa,wpa,success,yards_gained,first_down,touchdown,field_goal_result,kick_distance,punt_inside_twenty,punt_out_of_bounds,punt_downed,punt_fair_catch,return_yards,penalty,aborted_play,play_deleted,goal_to_go,timeout,timeout_team,off_epa_4w,def_epa_4w,plays_in_drive_so_far,play_elapsed_s,game_time_elapsed,def_time_on_field_cum,def_time_on_field_share,is_q4_or_later,action,fg_pct_short,fg_pct_mid,fg_pct_long,punt_net_4w
2024,1,2024_01_ARI_BUF,2024-09-08,823.0,ARI,BUF,BUF,ARI,away,2.0,2700.0,900.0,900.0,4.0,4.0,11.0,7.0,3.0,3.0,3.0,3.0,outdoors,a_turf,61.0,20.0,field_goal,0.0,1.0,0.0,0.0,0.13557442,-0.0021723509,1.0,0.0,0.0,0.0,made,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,11.0,0.0,900.0,757.0,0.8411111111111111,0,fg,1.0,0.7488795518207283,1.0,-4.209229373376429
2024,1,2024_01_ARI_BUF,2024-09-08,1120.0,BUF,ARI,BUF,ARI,home,2.0,2391.0,591.0,591.0,4.0,19.0,19.0,-10.0,3.0,3.0,3.0,3.0,outdoors,a_turf,61.0,20.0,field_goal,0.0,1.0,0.0,0.0,0.47375023,0.047244906,1.0,0.0,0.0,0.0,made,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,0.0,0.0,12.0,40.0,1209.0,440.0,0.3639371381306865,0,fg,0.9664902998236331,0.5047860360360361,1.0,-2.310125429784098
2024,1,2024_01_ARI_BUF,2024-09-08,2360.0,ARI,BUF,BUF,ARI,away,3.0,1383.0,1383.0,483.0,4.0,14.0,74.0,0.0,3.0,3.0,3.0,3.0,outdoors,a_turf,61.0,20.0,punt,1.0,0.0,0.0,0.0,0.07761308,0.073094904,1.0,0.0,0.0,0.0,,50.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,5.0,38.0,2217.0,1300.0,0.5863779882724403,0,punt,1.0,0.7488795518207283,1.0,-4.209229373376429
2024,1,2024_01_ARI_BUF,2024-09-08,2468.0,BUF,ARI,BUF,ARI,home,3.0,1288.0,1288.0,388.0,4.0,7.0,66.0,0.0,3.0,3.0,3.0,3.0,outdoors,a_turf,61.0,20.0,punt,1.0,0.0,0.0,0.0,0.21043436,0.034199566,1.0,0.0,0.0,0.0,,51.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,4.0,6.0,2312.0,968.0,0.4186851211072664,0,punt,0.9664902998236331,0.5047860360360361,1.0,-2.310125429784098
2024,1,2024_01_ARI_BUF,2024-09-08,2632.0,BUF,ARI,BUF,ARI,home,3.0,1104.0,1104.0,204.0,4.0,1.0,12.0,0.0,3.0,3.0,3.0,3.0,outdoors,a_turf,61.0,20.0,run,0.0,0.0,1.0,0.0,1.3437175,0.06309503,1.0,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,4.0,41.0,2496.0,1089.0,0.4362980769230769,0,go,0.9664902998236331,0.5047860360360361,1.0,-2.310125429784098
2024,1,2024_01_ARI_BUF,2024-09-08,2921.0,ARI,BUF,BUF,ARI,away,4.0,815.0,815.0,815.0,4.0,4.0,12.0,-7.0,3.0,3.0,3.0,3.0,outdoors,a_turf,61.0,20.0,field_goal,0.0,1.0,0.0,0.0,0.16168825,0.021527305,1.0,0.0,0.0,0.0,made,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,10.0,43.0,2785.0,1586.0,0.5694793536804309,1,fg,1.0,0.7488795518207283,1.0,-4.209229373376429
2024,1,2024_01_ARI_BUF,2024-09-08,3124.0,BUF,ARI,BUF,ARI,home,4.0,643.0,643.0,643.0,4.0,2.0,37.0,4.0,3.0,3.0,3.0,3.0,outdoors,a_turf,61.0,20.0,run,0.0,0.0,1.0,0.0,2.4538898,0.056800008,1.0,5.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,8.0,38.0,2957.0,1305.0,0.44132566790666217,1,go,0.9664902998236331,0.5047860360360361,1.0,-2.310125429784098
2024,1,2024_01_ARI_BUF,2024-09-08,3521.0,BUF,ARI,BUF,ARI,home,4.0,328.0,328.0,328.0,4.0,6.0,53.0,3.0,2.0,3.0,2.0,3.0,outdoors,a_turf,61.0,20.0,punt,1.0,0.0,0.0,0.0,-0.32511565,-0.03970644,0.0,0.0,0.0,0.0,,34.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,8.0,4.0,3272.0,1564.0,0.4779951100244499,1,punt,0.9664902998236331,0.5047860360360361,1.0,-2.310125429784098
2024,1,2024_01_ARI_BUF,2024-09-08,3628.0,ARI,BUF,BUF,ARI,away,4.0,276.0,276.0,276.0,4.0,15.0,86.0,-3.0,2.0,3.0,3.0,2.0,outdoors,a_turf,61.0,20.0,punt,1.0,0.0,0.0,0.0,-1.1456144,-0.036155373,0.0,0.0,0.0,0.0,,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,4.0,32.0,3324.0,1640.0,0.49338146811071,1,punt,1.0,0.7488795518207283,1.0,-4.209229373376429
2024,1,2024_01_ARI_BUF,2024-09-08,3763.0,BUF,ARI,BUF,ARI,home,4.0,120.0,120.0,120.0,4.0,3.0,21.0,3.0,2.0,3.0,2.0,3.0,outdoors,a_turf,61.0,20.0,field_goal,0.0,1.0,0.0,0.0,0.52845424,-0.056282997,1.0,0.0,0.0,0.0,made,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,6.0,23.0,3480.0,1714.0,0.4925287356321839,1,fg,0.9664902998236331,0.5047860360360361,1.0,-2.310125429784098
